zip_code,pm25,o3,temperature,humidity,risk,date,city,country
1000,86,2,19.1,92.3,0,2022-01-01,São Paulo,BRA
1000,69,3,20.2,93.8,0,2022-01-02,São Paulo,BRA
1000,93,2,20.5,94.0,0,2022-01-03,São Paulo,BRA
1000,96,14,20.3,94.8,0,2022-01-04,São Paulo,BRA
1000,73,2,21.1,92.0,0,2022-01-05,São Paulo,BRA
1000,52,4,21.1,90.4,0,2022-01-06,São Paulo,BRA
1000,24,4,19.3,95.7,0,2022-01-07,São Paulo,BRA
1000,34,2,18.2,95.6,0,2022-01-08,São Paulo,BRA
1000,38,2,16.8,95.9,0,2022-01-09,São Paulo,BRA
1000,44,3,16.6,96.5,0,2022-01-10,São Paulo,BRA
1000,80,2,18.7,96.6,0,2022-01-11,São Paulo,BRA
1000,65,8,19.3,96.5,0,2022-01-12,São Paulo,BRA
1000,94,7,20.0,96.0,0,2022-01-13,São Paulo,BRA
1000,51,3,19.9,97.1,0,2022-01-14,São Paulo,BRA
1000,124,8,21.7,97.7,1,2022-01-15,São Paulo,BRA
1000,165,2,21.8,92.5,2,2022-01-16,São Paulo,BRA
1000,97,3,20.8,86.6,0,2022-01-17,São Paulo,BRA
1000,124,4,21.8,85.9,1,2022-01-18,São Paulo,BRA
1000,124,28,22.1,91.9,1,2022-01-19,São Paulo,BRA
1000,131,17,21.4,96.2,1,2022-01-20,São Paulo,BRA
1000,152,39,21.6,96.4,2,2022-01-21,São Paulo,BRA
1000,72,14,19.7,96.0,0,2022-01-22,São Paulo,BRA
1000,84,23,20.4,94.4,0,2022-01-23,São Paulo,BRA
1000,130,60,21.9,93.9,1,2022-01-24,São Paulo,BRA
1000,91,50,21.6,93.6,0,2022-01-25,São Paulo,BRA
1000,106,45,22.1,94.5,1,2022-01-26,São Paulo,BRA
1000,94,8,23.3,76.0,0,2022-01-27,São Paulo,BRA
1000,94,35,21.9,87.5,0,2022-01-28,São Paulo,BRA
1000,38,14,19.1,95.1,0,2022-01-29,São Paulo,BRA
1000,76,3,19.3,94.6,0,2022-01-30,São Paulo,BRA
1000,82,1,19.9,93.8,0,2022-01-31,São Paulo,BRA
1000,59,3,20.3,92.0,0,2022-02-01,São Paulo,BRA
1000,76,4,19.1,95.7,0,2022-02-02,São Paulo,BRA
1000,78,4,20.2,95.5,0,2022-02-03,São Paulo,BRA
1000,71,8,20.7,92.4,0,2022-02-04,São Paulo,BRA
1000,104,1,22.5,87.0,1,2022-02-05,São Paulo,BRA
1000,60,2,21.6,89.8,0,2022-02-06,São Paulo,BRA
1000,57,6,21.2,93.3,0,2022-02-07,São Paulo,BRA
1000,58,2,18.7,89.5,0,2022-02-08,São Paulo,BRA
1000,46,7,18.2,91.4,0,2022-02-09,São Paulo,BRA
1000,43,9,17.3,95.2,0,2022-02-10,São Paulo,BRA
1000,40,3,17.9,93.4,0,2022-02-11,São Paulo,BRA
1000,39,1,18.7,91.9,0,2022-02-12,São Paulo,BRA
1000,41,2,18.9,93.2,0,2022-02-13,São Paulo,BRA
1000,82,15,19.9,97.0,0,2022-02-14,São Paulo,BRA
1000,94,16,21.1,87.1,0,2022-02-15,São Paulo,BRA
1000,49,7,19.7,87.5,0,2022-02-16,São Paulo,BRA
1000,52,3,18.6,94.2,0,2022-02-17,São Paulo,BRA
1000,53,8,19.1,93.3,0,2022-02-18,São Paulo,BRA
1000,50,5,17.9,93.8,0,2022-02-19,São Paulo,BRA
1000,100,15,19.7,93.2,0,2022-02-20,São Paulo,BRA
1000,125,7,19.5,91.6,1,2022-02-21,São Paulo,BRA
1000,154,5,21.4,86.1,2,2022-02-22,São Paulo,BRA
1000,152,26,20.5,90.7,2,2022-02-23,São Paulo,BRA
1000,99,27,20.8,93.8,0,2022-02-24,São Paulo,BRA
1000,69,13,20.2,94.0,0,2022-02-25,São Paulo,BRA
1000,82,11,20.5,95.3,0,2022-02-26,São Paulo,BRA
1000,72,18,19.3,93.3,0,2022-02-27,São Paulo,BRA
1000,85,19,21.3,94.4,0,2022-02-28,São Paulo,BRA
1000,161,9,23.6,77.5,2,2022-03-01,São Paulo,BRA
1000,89,23,21.2,93.6,0,2022-03-02,São Paulo,BRA
1000,135,7,21.4,94.1,1,2022-03-03,São Paulo,BRA
1000,152,55,22.2,96.4,2,2022-03-04,São Paulo,BRA
